Location,HealyWarningsOnSmoking,MostSoldBrandCigaretteCurrency,MostSoldBrandCigarettePrice,TreatmentInHealthFacilities,BanOnEducationalFacilites,BanOnGovernmentFacilites,BanOnHealthcareFacilites,BanOnIndoorOffices,BanOnPublicTransport,BanOnPubsAndBars,BanOnRestaurants,BanOnUniversities,RegulationsOnSmokeFreeEnvironments,Year,CigaretteSmokingPrevalence_estimate,CigaretteSmokingPrevalence_ci_low,CigaretteSmokingPrevalence_ci_high,TobaccoSmokingPrevalence_estimate,TobaccoSmokingPrevalence_ci_low,TobaccoSmokingPrevalence_ci_high,TobaccoUsePrevalance_estimate,TobaccoUsePrevalance_ci_low,TobaccoUsePrevalance_ci_high
Greece,No,EUR,4.0,Yes in some,7.0,5.0,7.0,7.0,8.0,0.0,2.0,5.0,3.0,2014,37.4,28.2,45.9,41.2,32.5,51.0,41.2,32.5,51.0
Guyana,,GYD,300.0,Yes in some,10.0,,10.0,,,,,3.0,4.0,2014,2.7,1.8,3.6,2.7,1.8,3.6,2.7,1.8,3.6
Haiti,,,,No,,,,,,,,,,2014,2.8,1.8,3.6,3.8,0.0,0.0,3.8,0.0,0.0
Hungary,No,HUF,1000.0,Yes in some,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,2014,30.1,23.5,37.0,32.4,25.7,39.5,32.4,25.7,39.5
Iceland,No,ISK,1219.0,Yes in some,9.0,,,,,,,,10.0,2014,13.0,8.0,18.1,16.4,12.1,20.8,16.4,12.1,20.8
India,Yes,INR,138.0,Yes in some,8.0,5.0,10.0,9.0,7.0,,,5.0,6.0,2014,12.4,9.7,14.9,2.1,1.6,2.6,30.6,24.2,37.2
Indonesia,Yes,IDR,18333.0,Yes in some,6.0,,8.0,,1.0,,,0.0,1.0,2014,30.8,24.7,36.3,30.8,24.7,36.3,6.8,5.1,8.5
Iran (Islamic Republic of),Yes,IRR,15000.0,Yes in some,9.0,8.0,9.0,9.0,8.0,2.0,6.0,7.0,6.0,2014,18.1,13.7,22.4,11.7,9.4,14.1,26.6,21.0,31.8
Iraq,Yes,IQD,500.0,No,,,,,5.0,,,,2.0,2014,14.7,7.7,21.0,3.2,1.8,4.8,4.3,2.7,6.3
Ireland,No,EUR,9.6,Yes in some,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2014,23.0,18.5,27.7,25.9,20.8,31.5,25.9,20.8,31.5
Israel,No,ILS,30.0,Yes in some,,,,,,,,,,2014,22.7,17.2,28.6,26.6,19.1,33.7,26.6,19.1,33.7
Italy,No,EUR,5.0,Yes in some,,,,,,,,,,2014,23.3,19.6,27.0,24.0,19.8,28.0,24.0,19.8,28.0
Jamaica,Yes,JMD,800.0,Yes in most,10.0,10.0,10.0,10.0,8.0,2.0,7.0,7.0,7.0,2014,15.9,10.8,22.5,19.7,10.8,30.2,19.7,10.8,30.2
Japan,No,JPY,430.0,Yes in some,,,,,,,,,,2014,23.1,19.2,27.3,23.9,19.1,27.7,23.9,19.1,27.7
Kazakhstan,Yes,KZT,210.0,Yes in some,6.0,6.0,6.0,8.0,,5.0,,6.0,6.0,2014,41.8,32.3,51.1,45.0,35.9,54.2,45.0,35.9,54.2
Kenya,Yes,KES,100.0,Yes in some,,,,,,,,,,2014,18.1,13.6,21.6,11.3,9.0,14.2,22.9,18.7,27.8
Kiribati,No,AUD,4.8,Yes in most,,6.0,6.0,5.0,,,,,8.0,2014,44.2,25.2,63.1,55.2,40.8,70.4,55.2,40.8,70.4
Kuwait,Yes,KWD,0.75,Yes in most,,,,,,,,,,2014,15.1,9.5,21.4,2.7,1.9,3.5,3.9,2.9,5.2
Kyrgyzstan,Yes,KGS,35.0,Yes in most,,,,,,,,,,2014,3.1,2.0,4.2,3.7,2.4,4.9,3.7,2.4,4.9
Lao People's Democratic Republic,No,LAK,8000.0,No,9.0,,8.0,,6.0,,,6.0,5.0,2014,43.3,32.7,53.7,52.4,41.0,63.5,42.2,31.8,53.8
Latvia,,EUR,3.0,Yes in some,8.0,8.0,,,,7.0,8.0,8.0,8.0,2014,33.3,25.3,40.9,37.5,31.2,45.0,37.5,31.2,45.0
Lebanon,No,LBP,3250.0,No,,,,,,,,,,2014,27.0,19.9,34.5,34.0,25.8,43.1,42.7,30.4,56.3
Lesotho,,LSL,34.99,Yes in most,,,10.0,,,,,,2.0,2014,20.5,15.2,25.1,26.3,19.4,34.1,49.8,38.1,60.3
Liberia,,LRD,60.0,Yes in some,,,,,,,,,,2014,14.1,8.1,20.4,14.7,11.7,17.9,2.3,1.5,3.2
Lithuania,No,LTL,9.4,Yes in some,6.0,,5.0,,,10.0,10.0,5.0,7.0,2014,26.2,20.7,32.0,29.0,23.2,34.6,29.0,23.2,34.6
Luxembourg,No,EUR,5.0,Yes in some,10.0,8.0,,,,,,10.0,10.0,2014,21.1,17.0,25.3,23.3,19.4,28.1,23.3,19.4,28.1
Madagascar,No,MGA,3000.0,No,8.0,7.0,9.0,7.0,7.0,1.0,3.0,2.0,6.0,2014,15.3,11.3,19.4,21.4,13.9,28.6,31.2,22.9,39.8
Malawi,,MWK,800.0,No,,,,,,,,,,2014,18.5,14.7,22.5,21.0,17.0,25.0,23.3,18.9,28.3
Malaysia,,MYR,12.0,Yes in some,,,,,,,,,,2014,19.8,14.3,26.2,23.1,18.2,28.9,23.1,18.2,28.9
Mali,No,XOF,700.0,No,,,,,,,,,,2014,18.0,13.8,22.4,12.1,8.4,16.3,12.1,8.4,16.3
Malta,,EUR,4.8,Yes in some,7.0,8.0,7.0,7.0,10.0,5.0,8.0,7.0,7.0,2014,23.8,17.8,29.6,26.8,20.9,32.6,26.8,20.9,32.6
Mauritius,,MUR,125.0,Yes in some,6.0,10.0,8.0,,9.0,1.0,9.0,5.0,6.0,2014,3.4,2.4,4.3,3.9,2.9,4.9,49.9,31.6,70.7
Mexico,No,MXN,45.0,Yes in most,8.0,,,,,,,,3.0,2014,21.9,17.6,26.3,23.8,19.6,28.1,23.8,19.6,28.1
Mongolia,No,MNT,1600.0,No,7.0,7.0,8.0,6.0,5.0,9.0,9.0,7.0,8.0,2014,38.8,24.5,52.9,47.7,37.8,58.9,52.0,40.0,65.1
Morocco,No,MAD,19.5,Yes in most,6.0,5.0,10.0,5.0,,,,5.0,6.0,2014,12.7,9.5,16.5,15.0,11.7,18.9,16.4,12.8,20.3
Mozambique,No,MZN,30.0,No,,10.0,,,,,,,5.0,2014,12.3,8.4,16.7,29.3,19.3,39.3,26.7,20.9,33.6
Myanmar,,MMK,650.0,Yes in some,9.0,4.0,9.0,8.0,,,0.0,4.0,4.0,2014,3.2,1.8,4.8,40.1,31.1,49.9,48.8,37.3,60.4
Namibia,Yes,NAD,40.0,Yes in some,5.0,10.0,9.0,10.0,10.0,2.0,10.0,0.0,3.0,2014,22.6,16.7,28.0,33.2,23.9,43.0,28.1,0.0,0.0
Nauru,No,,,No,10.0,3.0,7.0,7.0,3.0,3.0,5.0,3.0,5.0,2014,39.5,23.6,55.5,48.4,34.8,62.3,55.7,41.4,71.5
Nepal,Yes,NPR,132.0,Yes in some,10.0,10.0,10.0,10.0,10.0,5.0,5.0,10.0,8.0,2014,20.9,16.5,24.9,23.5,18.9,28.0,37.0,28.8,45.0
Netherlands,No,EUR,6.32,Yes in most,,,,,,,,,,2014,21.5,16.1,27.0,25.1,21.2,29.8,25.1,21.2,29.8
New Zealand,No,NZD,17.0,Yes in most,,,,,,,,,,2014,16.4,13.7,19.3,17.3,14.2,19.9,17.3,14.2,19.9
Niger,,XOF,500.0,No,0.0,,5.0,,0.0,,,0.0,0.0,2014,11.9,8.4,15.4,13.8,11.0,16.6,15.7,12.4,19.2
Nigeria,,NGN,220.0,No,7.0,,10.0,,10.0,,,,0.0,2014,3.9,2.6,5.2,4.5,3.5,5.5,5.2,3.8,6.5
Norway,No,NOK,97.9,Yes in some,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,2014,17.7,11.8,23.3,22.2,18.7,25.8,15.4,13.0,17.9
Oman,,OMR,0.9,Yes in some,,,,,,,,,,2014,11.2,7.8,14.8,14.8,11.6,18.7,18.3,13.8,24.0
Pakistan,,PKR,47.0,Yes in some,3.0,1.0,5.0,5.0,5.0,6.0,3.0,3.0,1.0,2014,2.8,1.9,3.8,3.8,2.4,5.1,37.9,28.3,47.6
Palau,,USD,5.25,Yes in some,10.0,10.0,10.0,10.0,9.0,,,8.0,8.0,2014,23.9,14.2,33.2,29.7,22.3,37.5,25.7,17.5,36.4
Panama,Yes,PAB,4.25,Yes in some,10.0,10.0,10.0,10.0,10.0,7.0,8.0,3.0,10.0,2014,2.2,1.5,2.9,2.5,1.9,3.3,3.2,1.9,4.6
Paraguay,,PYG,1500.0,No,,,,,,,,,,2014,20.4,13.5,28.7,24.6,18.5,31.8,24.6,18.5,31.8
Peru,Yes,PEN,6.2,Yes in some,10.0,10.0,10.0,8.0,10.0,3.0,7.0,5.0,8.0,2014,18.7,14.7,23.1,20.4,15.8,25.6,20.4,15.8,25.6
Philippines,Yes,PHP,26.75,Yes in some,10.0,8.0,10.0,,5.0,,,8.0,5.0,2014,40.5,32.8,50.0,44.3,36.6,53.7,44.3,36.6,53.7
Poland,No,PLN,13.7,Yes in some,8.0,,8.0,,8.0,,,,8.0,2014,26.7,21.4,31.7,28.6,23.3,33.7,28.6,23.3,33.7
Portugal,No,EUR,4.5,Yes in some,8.0,,8.0,,10.0,,,,3.0,2014,24.2,18.5,30.2,27.1,21.9,32.3,27.1,21.9,32.3
Qatar,Yes,QAR,10.0,Yes in some,,,,,,,,,,2014,10.1,6.4,13.8,12.0,9.1,15.4,14.3,11.0,17.8
Republic of Korea,No,KRW,2500.0,Yes in some,8.0,,10.0,,,,,,7.0,2014,40.3,33.4,47.0,42.7,35.6,50.1,42.7,35.6,50.1
Republic of Moldova,,MDL,15.0,Yes in some,7.0,,3.0,,,,,3.0,3.0,2014,40.0,30.9,49.6,44.2,35.7,55.3,44.2,35.7,55.3
Romania,No,RON,14.5,Yes in some,,,5.0,,,,,,0.0,2014,25.4,19.3,31.0,28.3,22.6,34.4,28.3,22.6,34.4
Russian Federation,No,RUB,67.0,Yes in some,10.0,7.0,3.0,5.0,8.0,10.0,10.0,8.0,8.0,2014,28.9,24.4,34.0,29.3,24.0,34.3,29.3,24.0,34.3
Rwanda,No,RWF,650.0,No,,,,,,,,,,2014,14.1,10.3,18.8,20.5,15.2,26.6,21.3,16.4,26.2
Samoa,No,WST,9.5,No,6.0,5.0,8.0,10.0,5.0,,,4.0,6.0,2014,25.0,18.2,33.2,31.0,21.7,41.1,31.0,21.7,41.1
Sao Tome and Principe,No,STD,20000.0,Yes in some,,,,,,,,,,2014,4.0,2.4,5.8,4.5,3.3,5.8,5.6,3.8,7.1
Saudi Arabia,,SAR,10.0,Yes in most,6.0,9.0,5.0,9.0,10.0,,3.0,9.0,8.0,2014,18.2,12.5,25.9,12.7,8.9,16.4,2.4,1.3,3.7
Senegal,No,XOF,500.0,No,,,7.0,,,,,,3.0,2014,13.6,10.7,16.4,15.8,13.1,19.2,10.0,7.0,13.6
Serbia,,RSD,170.0,Yes in some,6.0,3.0,4.0,,9.0,,,4.0,4.0,2014,37.0,29.3,46.2,41.7,32.9,50.2,41.7,32.9,50.2
Seychelles,Yes,SCR,75.0,No,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2014,31.8,23.9,40.0,36.5,27.6,45.7,36.6,27.6,45.0
Sierra Leone,,SLL,3500.0,No,,,,,,,,,,2014,31.5,23.8,39.9,22.5,17.6,27.7,22.5,17.6,27.7
Singapore,No,SGD,13.0,Yes in most,,,,,,,,,,2014,24.8,18.6,31.4,27.8,21.7,34.9,27.8,21.7,34.9
Slovakia,No,EUR,2.84,No,7.0,,7.0,,,,,7.0,7.0,2014,26.9,19.0,35.2,32.1,23.3,40.4,32.1,23.3,40.4
Slovenia,No,EUR,3.45,Yes in some,8.0,,8.0,,,,,8.0,8.0,2014,21.5,16.6,26.2,23.3,19.0,28.1,23.3,19.0,28.1
Solomon Islands,No,SBD,30.08,Yes in some,3.0,,3.0,,2.0,,,,2.0,2014,32.2,24.1,39.9,38.6,29.7,48.5,38.6,29.7,48.5
South Africa,No,ZAR,31.74,No,,,,,,,,,,2014,28.6,21.7,36.7,34.8,27.7,41.6,32.5,23.4,42.3
Spain,No,EUR,4.8,Yes in some,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2014,27.8,21.6,33.7,29.6,24.0,34.9,29.6,24.0,34.9
Sri Lanka,,LKR,600.0,Yes in most,9.0,5.0,8.0,10.0,7.0,,,5.0,5.0,2014,10.9,6.7,15.5,14.3,10.6,18.2,3.5,2.1,4.9
Sweden,No,SEK,58.95,Yes in most,,,,,,,,,,2014,14.4,10.3,18.5,19.5,16.3,23.0,32.9,26.4,40.7
Switzerland,No,CHF,8.4,Yes in some,,,,,,,,,,2014,22.7,17.1,28.7,25.9,21.3,30.4,25.9,21.3,30.4
Thailand,,THB,65.0,Yes in most,10.0,6.0,10.0,10.0,6.0,1.0,8.0,5.0,5.0,2014,20.2,16.5,23.9,21.5,17.7,25.1,3.6,2.7,4.5
Timor-Leste,,USD,1.25,No,,,8.0,,,,,,0.0,2014,5.3,3.4,7.7,41.8,33.9,50.2,41.8,33.9,50.2
Togo,No,XOF,400.0,No,8.0,8.0,10.0,,,,,10.0,10.0,2014,10.9,7.4,14.9,14.4,9.8,19.5,2.1,1.3,2.9
Tonga,No,TOP,8.5,Yes in some,,,,10.0,,,,,7.0,2014,24.7,15.7,35.5,30.7,23.5,39.2,30.7,23.5,39.2
Tunisia,No,TND,2.55,Yes in most,,,,,,,,,,2014,19.5,11.5,27.1,24.5,18.1,31.0,3.4,2.1,4.9
Turkey,No,TRY,8.0,Yes in some,10.0,8.0,10.0,8.0,10.0,6.0,8.0,8.0,10.0,2014,28.3,23.3,33.9,30.4,25.0,35.7,30.4,25.0,35.7
Tuvalu,No,AUD,2.5,Yes in most,,8.0,,,8.0,0.0,6.0,,6.0,2014,32.2,21.6,45.3,39.4,25.7,53.2,51.4,35.8,71.3
Uganda,,UGX,2500.0,No,10.0,8.0,10.0,8.0,,,,5.0,4.0,2014,13.9,11.2,17.1,3.3,2.3,4.3,18.8,14.7,23.1
Ukraine,Yes,UAH,9.0,Yes in some,7.0,5.0,7.0,,10.0,,5.0,5.0,3.0,2014,26.6,21.5,31.0,28.0,23.5,32.8,28.0,23.5,32.8
United Arab Emirates,Yes,AED,10.0,Yes in some,,,,,,,,,,2014,11.7,6.1,18.1,15.2,9.2,22.1,18.9,11.8,27.2
United Kingdom of Great Britain and Northern Ireland,No,GBP,7.52,Yes in most,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2014,19.3,16.1,22.7,22.0,17.9,26.6,22.0,17.9,26.6
United Republic of Tanzania,,TZS,3500.0,Yes in some,,,,,,,,,,2014,10.0,7.2,13.0,2.3,1.3,3.3,26.3,20.2,33.9
United States of America,No,USD,6.23,Yes in some,,,,,,,,,,2014,18.5,15.3,21.7,21.7,18.0,25.6,26.4,21.6,31.6
Uruguay,Yes,UYU,78.0,Yes in most,10.0,8.0,8.0,7.0,10.0,8.0,10.0,7.0,10.0,2014,22.2,17.5,27.3,24.7,19.6,29.6,24.7,19.6,29.6
Uzbekistan,No,UZS,2200.0,Yes in some,,,,,6.0,,,,4.0,2014,10.7,6.9,14.4,13.0,9.1,16.9,13.0,9.1,16.9
Vanuatu,,VUV,720.0,No,,,,,,,,,,2014,2.6,1.4,4.1,3.1,1.9,4.6,3.6,2.1,5.3
Yemen,Yes,YER,280.0,No,5.0,2.0,5.0,3.0,4.0,,,3.0,4.0,2014,21.8,9.4,35.1,28.5,14.9,43.1,22.6,12.1,34.9
Zambia,No,ZMW,9.0,No,0.0,1.0,5.0,,5.0,3.0,5.0,0.0,3.0,2014,12.1,9.5,14.5,25.3,20.4,30.2,26.5,21.3,32.2
Zimbabwe,No,USD,1.3,No,8.0,,10.0,,10.0,,,5.0,10.0,2014,11.7,9.1,15.0,14.7,10.5,18.9,14.7,10.5,18.9
